Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1147324762301905841405600114647293059538441114142886750483730743141789087605963558600099898721369649927799777836063961682793850409117666233826246797191064853465521559556601923410233098254388943837961163578509798024590741711822199648805644833431236157118132606799486283303195357718411480579268671258074095903252258053822792767170685330182895912859143322977882947811462323205733716272230474136797371993323298414986855710798307057630078666448361821985458525013236832642439333460674976675245571104633488712682873651313227641817464888430092151232326646156236011778812743731559379466562855549023215180024387635943045305,11245,,True, 12387 (12066),4, [887& 5496& 5524& 7000],152,2,['5583'& '7130'],4761,False,0,,True,14655 (12501),0,317,False,0,,True,14031 (11818),0,155,False,0
1065861080091291357836722503680882905424724721527230001904403591412636871541775074573964448873318464910286002161405681162452464784158032361305660487652951255807179498080122009486610672591716516960665116405033999067453973991557236224829372369914430267377414610583332178074159025607615038216816266600706811946439055084588410279645670424055901794775707071107871749661885740377725971001720574787797387215592281511183952860672851183094602878082844634138669055639900830600983890693194542827832277231734132382891948338323670214480830233868767442911332357054698547317283851347965028210118509413342076667495695813485192178,13566,,True, 14885 (14538),9, [3209& 5056& 6082& 10225& 10271& 12263& 13146& 13430& 13766],178,4,['10347'& '13194'& '13502'& '13884'],6382,False,0,,False,17194 (14973),1,380,False,0,,True,16584 (14388),0,157,False,0
1078468890550358680662686830845718754813984573606002110787149707835692541188642681396971459116676752908206317027448050851166022887291145877028821431208639478980526825878384067129325506875594697925926555570948825147596589440208633194840057625117651940316176314711374298701196050091288633990574461024376111905407336598554894306215455270269688873700542881327183931571282071260977218492397472640006070454372145953033574987717084670835925675424597584796498447768165420910726286960921694815192314599111739814493822230292379944145743803691684647567171758254733647396419262837074137622132038729569859207873460662360614473,13835,,True, 15209 (14890),5, [77& 4409& 6891& 8789& 9202],192,3,['6971'& '8895'& '9257'],6115,False,0,,False,30395 (30002),0,54,False,-1,,True,16867 (14696),0,172,False,0
1151017852448690552165747578335010283692835837510008076154264888268705081084135812334117907851358458384865828608473538829863307882849127777451211686711854750034870589663547518647414189182331134528091765353772806542152032963550385425651904517010115621357713801951667939402744300498076238708467251501703903367668370005407826411342431742438002315270968891959663684422147280159419665714823820614060972209817860981630416719467434910840119239828556918834749379203706974255254269235294542675306597882793152368965194153856735841789845920323109454281387490662331685808065434557459584438155526865285944727187697814892466620,12491,,True, 13183 (12859),4, [826& 1803& 3079& 7551],182,1,['7624'],4693,False,0,,True,15316 (13149),0,300,False,0,,False,31232 (30001),0,92,False,-1
1035339884015436028273260014118355567312928207226321195607409816896315840547973197021858935487416728095429306795668076265679831578118531601238336154000055623299793034076036802637561160928108724350830792855768308489095082747306826429680660498717727070850187164844205486688639739333873499426695743927621877310567131831769364000311568399595694922260790057187293225931193418581826077817871715723766024366099704258404757366584201265921884170610245940585352829735676824801909311461985922347863072338972820166480380972485856870004592214273893129181964346658090695131710070836819908412097186536603801540590771861666988403,14033,,True, 15721 (15381),8, [2665& 2716& 3770& 5109& 5461& 8704& 10256& 12756],157,3,['8773'& '10310'& '12873'],7055,False,0,,True,17382 (15175),0,317,False,0,,True,16802 (14577),0,151,False,0
1132073608140052367220290611524325948218872703824135604396777441111092091999976072557074883030101802674655200892879712002218417437358037346773539559472110690813047876106721419300333902631928171176898596985749533543596965254647690990681315441625158699215755137717814344875980792425287443012680059367754044905998822678337594892143753376766777108006069477755396821133884598777129145860654849828366367100771323928402102800046648883777094357124680965554662760018073083054803822688000216244533900176302178341131731341993784019544442704720101380054784092652363829902219388882862647055961361118004137617754041815959248632,12406,,True, 13777 (13469),6, [1795& 2394& 5786& 6383& 8173& 9183],178,3,['5867'& '8247'& '9241'],5047,False,0,,True,15449 (13266),0,293,False,0,,True,3151 (3138),1,0,False,-1
1068627160380385030519045126926347397358694333430122735047318507518174831221123047616906989806189733653141014056946010314285389049141598005163989603852635248155617800966121193970577821049503013608388456723069410655134958030544359175121924790263553061223909563378806371456352855087505168592894924107511580514487984689832465044628266352109828890474596763954188431115179993237939530722223590553454080259226812429022627151451234626913190770221109160596874374860343243935325710304018167345812911230049675733731958117917265675475692715487798041963434115441031578371895217465704787670006605379728256898017034868657374146,13828,,True, 14579 (14206),4, [951& 1228& 6464& 12907],158,2,['6514'& '12970'],6323,False,0,,False,30050 (29999),0,1,False,-1,,True,16426 (14196),0,180,False,0
1172895262195945628002058311059880194758395487264184253302390852756557914453853143183468459827392247892050465504189832723874522509999340680675173964483523396939206825369601166058883710885288575806093890961892942981954188786638255588020886555092711796535019671918549286402396914955316905758130844993925137482420463185737756616521858560448732250154983479261157301726895299593034667443839479091578819707945336816211552152495484983937490262192993766527338148403015758422137341784034484828183848198870866789876858619689924232453901922490359143669716047815612446032029348619520190589324733097351476967440470445269300185,11992,,True, 13037 (12680),7, [326& 694& 818& 2197& 3858& 10962& 12377],176,2,['11035'& '12424'],4299,False,0,,True,15179 (13001),0,318,False,0,,True,5209 (5194),1,0,False,-1
1178066809577663024042735528688217852326638130553527188176388496958375422226975197836902125167828356836636172977744039996379045515368658027146777487564210341433335482628083509201108352173102747459861060074748252041272027947538656568539258252244111074773869778512636398808830284636847738914620485319424309850903454702280260187568041603696768110102949397881554447143264581892986378754809739392988893843881094135697939264499748147647537905541544218533627295381944530793667852004819572583957724939716873087114115677692351906210686795033864282667911868539327302179049164463740912644671638633067222750393080366538924718,11387,,True, 12709 (12349),4, [3006& 7262& 8288& 12158],181,3,['7363'& '8360'& '12228'],4208,False,0,,False,30054 (29999),0,1,False,-1,,True,13988 (11788),0,149,False,0
1098338447266855549077312643081869117121827831239353328844697915868956149203342850112571391713882546402376463764410013993933387580808612213971600149250520501512304143788072100490109927895147854895223312322630598173167468466865454043273158101931386752476520199972875028840208089555015957349321806516600117008898113844265953746594862681189939035433823286736583123707202693471398033299723875867408834792935756369563235945580375399766359158977252806549914882649156259730619835601694615964438749537242396950992742317795194254593233429383897546099478201890640687511242792023629882330373279569938527977736225021407035563,12599,,True, 13442 (13118),3, [3310& 7403& 9683],151,0,[],5707,False,0,,True,15514 (13325),0,319,False,0,,True,15209 (13020),0,162,False,0
