Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1355603317219024371266506584566256957029521951043514895197575793436599021428670356349383172170836395146512262379171742938390579565059082605640475848711143659306190025218169192443997767387754209437865103274180365020610580829044434142812478842978456132956325111680683625230563914306296317184113452857497886832282459867614693271842454943521408510234861510231237850025472738621583805348875214633387772290383306787865139282249028804795882840047464729070508305388393247835973539452442929172171923470977710778980658228064249209135306040149115215991548310111900927031841691051965024890108579844945939719968921263179578631,8807,,True, 9477 (9137),2, [4624& 7077],145,1,['4662'],1503,False,0,,True,12668 (10466),0,344,False,0,,True,11720 (9512),0,161,False,0
1441224025226314829903475657224853366343408658642590777260384657661457090096777215189267049090950373506019127290627676253368717560139583553081825320588260777162667911670201667184793751401013751351013801945701991042385997463129567043731818504794316463420445599203910907960338681038576541597553204161224380331997556615683705980994171090748786927952335101959525354023988981587844825352552124243027967762227589864375879821810403841896844267128455166071761607279173994353232454833973048409324919654857808289947349677636409538867796137094293996976797778144505280332399545727036252489641113252624558509186802929469028606,8824,,True, 10106 (9709),2, [345& 5818],188,1,['5858'],437,False,0,,True,12439 (10267),0,314,False,0,,True,11351 (9181),0,138,False,0
1476293831041163340296362821850054333728554278348789400218786164142765946056943385871651578774224412186204085695032486341200286133904394468322026400018684109671014647585757178762027815732323216954982446706720564937081436098610030368745949619977209759926642972293647217458854839626421651326373419756547751664291542632476100275807002891545589893728432871909643082987950799716222491306069495674333372293870832496076862687383181210742499953234826339502951246019792860074367084186247295955729039451391157218004483837659798211318364197687289972731038156512730465756719418652847969679307722745592759571374166374746373417,7662,,True, 8749 (8422),3, [2933& 4489& 5573],180,2,['2977'& '4553'],36,False,0,,True,10865 (8710),0,301,False,0,,True,10440 (8259),0,173,False,0
1457440366491466745350004087700573522369990479916885313056255297122077243139740159376221926814468192923283407510874113900178239872447179103708535924662027213940550767370352044492028171603721389488134813635227996559585614278046649916616524731949140210446193014216397900286223390932711610661359622114266885089978340488340713637081136099635879149193046833097263108716261692412301247642348495076810991241635760585940069782025287727191893087156224456105072167763265785696921232931137429168588522364306601762656131162116984577660185733416216447613120929066668240561357571593797509433018304110999456429439765701831914856,7376,,True, 8555 (8253),2, [1999& 3191],176,1,['3264'],249,False,0,,True,10872 (8706),0,289,False,0,,True,10088 (7924),0,147,False,0
1384461699761032718666986319384534938268062024721518212921819368432455792392074413883210567019859857330116211521296175408068477409973116053272031965998827894849001579425604166345194547155598328264546970943923413691382685108732234772944734522523174506186473840537699616814730069093442742887535579948266938977332108017298037420255862570227253674600888977055122872624283207492558077931493117783917893677932419134176909881247994091033448535649029833779246293011292632685172297634249953727911492204478281306420185193064911943969342178086888279526322955329176338960106560486891974952061435432362067804374450346791711625,7627,,True, 8912 (8586),4, [2622& 6553& 6625& 7516],175,3,['2714'& '6617'& '7576'],1129,False,0,,True,11089 (8911),0,316,False,0,,True,10899 (8696),0,176,False,0
1221094530954328633622118997435255694323501040984068032562230127566186547527511120031649102310625693434381217117662442252104335605300867831955795115198925630836886919537445706763726339670227796493504410951952236756105933971405415394198108134861483929362206460683195155282216287716349329619901876125517164992765574468852127095153777011908725572591702464598650949056551014341210430538332224904839658168389200334310406351750314639007486131755996222397257879900019171390129985085087703722806960420074122085628480560037698638262103779508760024609807153746336309313513674001388388101214921066926930917083380507402372180,9942,,True, 11135 (10806),3, [973& 6827& 10306],177,2,['6892'& '10399'],3480,False,0,,True,13413 (11227),0,307,False,0,,True,12645 (10446),0,184,False,0
1452670950475135011153144737079115300929415553424342889074233686448416617338388729215722858708230357286949016839949116357791045193488229045843873263025808774971317047891367214135187409985666922974893367593286627542447747874581259090921027819537623069172795369310801074996616248927303765937257984837740886854508759110391163198459160569978770098483013538916248382354739434166790434727013860856216856358157413209023245495513347977067718688603496432566580335372424622377704794457665306318706635045920841054003527056047361598961695452825783717324618732837860889924516445410432455159947557793991344572340994187712313068,8319,,True, 9506 (9175),6, [1423& 8117& 8412& 8530& 8615& 8764],156,6,['1480'& '8156'& '8478'& '8569'& '8653'& '8849'],304,False,0,,True,12000 (9826),0,326,False,0,,True,10825 (8642),0,159,False,0
1464740647277007415792456244862858923784150133336233532399269627036105812495560105916914086817708604533937020731452698321567405506155133995949067408882871466618253765269422601499617994133034388601745579665052290577731657431994340128190053113329650192112553825886805646066368207302309649086996372627863574532923626176697807965196419685316929920680175472548391381779580282495426264487978375966185146709980715390756803200049439892799822069891224280135743424205727869930337539585965664473957113215788914735924941942636177910060691596351825388785515332963231373765039469853087637442462355077144897573019162880144313311,8010,,True, 8958 (8651),2, [660& 6359],149,2,['702'& '6429'],166,False,0,,True,11296 (9122),0,316,False,0,,True,11153 (8962),0,184,False,0
1232788064086877873097430036343364034357153013464940923804780609836105924249646720446425307406741800666603312399510535025413607855849394603952181351443618868108042981460137877309061239671914911636424566513300536417774109184237404811177775074692790509269343192942665546246923290179108083885445278750774351962972991844304451577870426844036619069195711378302011894297574855981943907240350489122438530131995080335298388925386937272705353324510864406070238362870109413613272250278894725852241651738867169246216302648538229752319653961187965988505157704178245683800855793137021282425252898877536877813398015401441944370,9859,,True, 11659 (11310),6, [5110& 7144& 9077& 9298& 10268& 10516],159,4,['5159'& '9377'& '10340'& '10592'],3291,False,0,,False,30052 (29999),0,1,False,-1,,True,13040 (10820),0,171,False,0
1470206287817261647772812182356566834335245554924169928780633849425439454479487481814649954088366588700681176755356164667259790919560937343597200200602654774167384924378414113462575158181851540884705298927205611184796923101463063591170367435934384912274933197942588554654916552896175883574237763485275242783352575433220741589808941081229430801621843815573001147014795318266910935968332903819030294235926610498963648591560463654320504619697142454788010131005170518284187664869641195748799955130052630565972018996408120680084747924524214004660872576130456070499570676486244763035269545133010575169560413923624159251,7804,,True, 9711 (9365),6, [2930& 3392& 3635& 4699& 7424& 7916],171,6,['2965'& '3486'& '3671'& '4793'& '7488'& '7951'],104,False,0,,True,11174 (8995),0,328,False,0,,True,10754 (8578),0,182,False,0
1423679649882890637595556908895460619700748791434669871445484987533089694063130311774872720572982639854912314137075179551382835765943771469097208397208480387677312312863408054724750598283273985172443480387408263492182426778995164715410699951674233187436577630939037649487678223774549381050694472813610356269226910622576235930839778288998447255743225356856265760456050831278618988016318158101465279785919892158698349652410382115270749876228518958282318562765741734335984978002614559412302072062999364999741418347668013289491398374921195360448464271975006155094908888733851190169174432054176905152371252725352020457,8063,,True, 9821 (9467),8, [843& 1660& 2008& 3865& 6069& 6595& 7101& 7167],151,6,['921'& '1706'& '2058'& '3915'& '6635'& '7225'],645,False,0,,True,11475 (9310),0,312,False,0,,True,10833 (8659),0,168,False,0
1355828424717125795668540964417015516185919273499863635604654474695660668528442396695994160198723451446959910815873149028822705508402079853593462200534341382590404702098465186957978766148146180844958593368500750047427105810316746773666303505970151300670210691530428310801097640513656265595629897130951702287231888829804965639775467089093262130508381339426842333379593559095153085743917677864747912832765058051772956426947644124990149379951953914263394267842875730007524764745913102300943681107671464106753563760466656726910488196867883832153322478188128881953372452409645962727768120690466481238478988066511042266,8418,,True, 9532 (9200),2, [794& 2720],181,1,['2795'],1500,False,0,,True,11904 (9714),0,344,False,0,,True,11403 (9230),0,172,False,0
1337199474444635668463831749511982922218472060097747635152823698649178609201113379376431050643383789604701051331041257384381156918378143023608014310965268541487143497268405135369744927130987420850319519387335040018375650118651635511738508459304329358536321336320770156686497406406604940073668109196621087505383452381402547433355923688162706453251260463054191112747087883541835869572489625107667996577774128743185133571044163557688880646121809615776256049286546129651697938775252634436361583948153858331379154871004860390408130195015027150317008349878410248076499071184864054018247188959533594582254725877404007730,9564,,True, 10344 (10035),3, [392& 930& 4697],143,1,['4741'],1750,False,0,,True,12879 (10706),0,323,False,0,,True,12154 (9956),0,163,False,0
1389366629122817495324588782990681986022139697532653643727488019901021968807485765475320380997611232766380681594243397900123385830646283497346446482918062423092114876477746855712401812877627105815710430104015414268402474175791766099504581977843691925572829526329966760019371087334163105212064606114596265111734480014465988951751684907352922912340220918814061016927835221149296087645287454803298472957770623913813843997533944462631958346010251302689503104075164354460853137782769567693213518896164115423739781349364844396860271262387510693256698609659315640116241077191351731027454658926456581478173010536638342398,8491,,True, 9687 (9317),0, [],159,0,[],1067,False,0,,True,12231 (10069),0,290,False,0,,True,11291 (9108),0,154,False,0
1246556807798887546078953167027632878596733261472962335466138351333323040121260401591096895555995991050117288608692108717673581096542339580412154605792430385001331259328308697954286849921727235957949996154278183621334006417689868037124158033648572260205384512774267631020323671798124607222980512192922057017999032465954478541602391096963497914545531362781607911240681805637472663229849556217569675781080649214822759858180728952191094087400905777400227848723530972441964047546625410832424685120418909128555735815274623071791272648184759669377668991793649579292177209753818479777843163830250884977437203085333086807,9621,,False, 30125 (30059),15, [756& 2850& 9135& 9238& 10229& 11253& 15131& 16704& 20593& 21296& 24915& 26836& 27332& 29739& 29810],1,-1,[],0,False,0,,True,13180 (11011),0,309,False,0,,True,12872 (10665),0,183,False,0
1462186938645058671524735835038288232720003404257949783007820712952467604421977567825199828765971392251767413431505063177232784322232749593558485393738305695790227295162894987261752261725871580655740160100617353759450310024638285151395106404841691605161580189668527072899764941101435559805356047376979278586202706585477036367377562299674006592153500826290399722516546927188285519162452217114768588052524940348894922455844082575082681513502521028418635158987031727132893537604445463345498072789954668417249224331941808036074589835834976989816809415331431889151071957090206832238460865760156863723188910856584999741,7539,,True, 8890 (8567),4, [3414& 4188& 4813& 6035],177,3,['3461'& '4878'& '6083'],195,False,0,,True,10929 (8751),0,327,False,0,,True,10624 (8439),0,143,False,0
1327867610920676441001443787322760544559258819104237755491457373466176104541445219779588649280995379444861912887081652107212040753472015364575394379382141112231399864345565266710783606769785437204256854451636843954545496688570415041166501109707133787844291558765106211767705278954128776121276357423543775259542137467568314501176378034576585378740817119533609096197952347651218264965131969645049574422499028396974080861754573734012062514331625741175169160891907631341672349772752444857825243474397746105995963750476523075971632880728896086452413001195705461576912462446142595412106599832670851330845294796790514668,8796,,True, 10341 (10013),4, [85& 2531& 5786& 7128],196,2,['2588'& '5844'],1878,False,0,,True,12454 (10274),0,311,False,0,,True,12282 (10070),0,160,False,0
1453529892708215152863397758445703745876079456003915995981051948628299281889477984273453235821288443624113796901764761950556593390177365750665263561227566926799346626495183655148352019208692877188001913675555610584097615837653316297450564802620783850334825001264992444309345162940707889013246307644483690062760503077861999767778167150515817650235083508377927017609476886835347455092103280783361173187877224251614035423366834977469288982354028124219832459781887147473690775897179981109546577019092080226399702412391267283326834691651729475997233107430513110059829279736029997659845854315681120906284833935174654640,8737,,True, 9339 (9013),1, [271],164,0,[],294,False,0,,True,11812 (9632),0,313,False,0,,True,10880 (8713),0,156,False,0
1434154040682431849978759781551392666896875761528781661438569441265571244675249375352613658682336205828756790466327905693874508466001850401074112762000180696337267079637451670521628541177122385961105680740669938442133139735341411527641820392467911876408002773277797033589557630048214096048312780022553249940300787075120111521670105839073960781510272603587081794450402773433848474801702497222916991183697587578301667807690927399798834815586317676300672011234698539657751776132789150503516435587084648667716647575758211230715901533270064556427431461286537554007331955463165090144979657305084452080533196679596667257,7540,,True, 8504 (8146),4, [492& 2295& 2940& 8117],170,1,['2991'],520,False,0,,True,10869 (8726),0,295,False,0,,True,10414 (8239),0,146,False,0
1473504282991862637728369534728660238994160585307014054052973341793964417040112307657407044286800138575185723841425318250582461909931944891036656795140184169612386588823974694162447251601296856956657977546714052785469639745576941961881630773559444454361011487748693579523985955492418214727330761781287076286589071865630068132260690082928645720228011832588701912442097703643383577801134564803393648151009582832611985706145343040219228043437680339998153339248601536810566875159729483799051623676016033878627589515329245742312770027147489102419069471029441852933860694491869620847555086384669876823992592653785329792,6907,,False, 30131 (30039),10, [926& 2203& 2338& 4046& 4926& 12441& 21012& 27177& 28759& 28929],1,-1,[],0,False,0,,True,10486 (8322),0,300,False,0,,True,9807 (7622),0,156,False,0
1423336220857565096016286427145484106303180353127680130834283092760322631830173565021576921806176776839772925182838863262156775265669209527734141672311041906896375059575008625368642592993024640951814993366367104799888143474369413967298985818598038468130151519752680302190310908524799589992914822295267212550647018563753020096986824790726480713920401667257547685579678200965035778805306655454814439645584243937094792646028953218649563533354372413697318732637013819958024710660652316743946196936500681842354624698713727701706042075796939485204248131746072775039991719408641840413434328589833876881259509637457045013,7664,,True, 9224 (8892),4, [400& 1797& 1860& 2672],177,2,['1939'& '2731'],649,False,0,,True,11126 (8910),0,375,False,0,,True,10694 (8519),0,185,False,0
1402900178391772771118701627168068213773692442151263964984353964792850931562552955082669524704072525861650685260303885136069096759240512325231517899828475723199668737913586325910413975632357126042401546458028999623105455590167108446847896936698237543947802964240316443617422702925771525180490573219938981958248184404196574831950994405384909507997207341193154509261059450448590905453470299210458134091290899161734520517051831741470457480086132980932624180680503252563111623447818335218044719883535992160000362676158195175754655847742218552360541652699169901505105219709403870877959127926775084148729767718406597793,7878,,True, 9097 (8741),4, [404& 3571& 3990& 6136],176,2,['3676'& '4049'],898,False,0,,True,11535 (9347),0,360,False,0,,True,10980 (8771),0,165,False,0
1406952841771512933278249513319228192507734060541750001013589327475318463604156464764529515191378544676206960421711849690276109689876243882489432366845676145164629655611680656388473988587584538311153684285123792230610781849322592090241889649032188998098183333064722789614585034142004393526987959383035112750308204757571917569949755033173115963915559241869778211366146783086075358197827495881182888621810238558788649042764189476049458268901843974627644260545619012223582988482295562248449142205602755465794263868628966754663935766502278793453546311878092429455873727792554133586756229031829089433966283410130293915,8184,,True, 9545 (9174),5, [1261& 1311& 1394& 2548& 4816],185,4,['1356'& '1446'& '2613'& '4885'],848,False,0,,True,11630 (9448),0,321,False,0,,True,10643 (8480),0,154,False,0
1344147307858674977656753220380630667572863393447326035085819067028957532049098305732554957968875588703553946475877940629088249822281142326188554822508158656544267104186720888113857266780430299903179987335109150309182000461070256081448583168337538881249044184945316451410544687081706002964656099015445223830593207992021862773777878748833288419088561532906283447299377979477125781187226841909691244167428160159453167341087774524483434136158987272772459802100007872830710642334912767760531041508558272319794278920435550664773617138513783269159632221654503314319882946673123679246268462427970887842439973581814259348,9522,,True, 10377 (10009),2, [215& 6318],157,1,['6356'],1656,False,0,,True,12536 (10368),0,314,False,0,,True,12317 (10119),0,153,False,0
1419608509552818107382652185152349829180310274545909758268329715903806498412489834442723236542024916080423919628396781272061939815679459157945181809278082400904790072220781771052859593314699948741253247622625814506616552633091026277978604137296478596663507306712027887185970982350546672359028914223634471883444053754129563579956509107133223995161126769924469723754791761626661166478999837437558967534369305849499476827806068567003614020892659251694454178934817102261751540715759048049871196775397506095110627777392657896511868958910414596925485332275575143232544554906662003035750676036738510912921357141601887967,7583,,True, 9043 (8729),2, [4449& 4997],169,2,['4488'& '5047'],694,False,0,,True,11104 (8920),0,328,False,0,,True,10245 (8053),0,166,False,0
1334641757923573318242771664140523830955614893116147164952011462307074144210786878311029133998825464025794128768986302119530888167183664664901435042188802659404313147798122097125152213205183336846372533107490715717992144762774921844191826469378634074304213221479483486725551686053678270353770989684487267696396263958001913498325938534223714856896068617006082969935012718409906793841789716513738475123149709569663698235991413983177506012341023655211308015730422925133641554113954080681459904040709250533075699900091699289034239610639375493459220533603200216883644523683379337349565661211772801304825508179280148530,9149,,True, 28452 (28038),4, [1757& 4124& 19104& 25050],154,0,[],20013,False,0,,True,12719 (10533),0,338,False,0,,False,30136 (27888),0,162,False,0
1311403714990798906765480198192354702948134424130810216996106128347399275168053746049894499209487334953590353879691432086256535544846650672063341043142400266857045727336332485413334656021858395485769055626070704478676933639998040955003499605330771283146207415953881884074796872494818447043498943939533058408329853734887388593247928581856795440986631412639042678929530156242896538496409326180711170739969772070592302749967463605158001022573937603661147677934665601763785291684728707193255687854851459110646095441331186330799617390612175614762560241262590585097310745410630040711621446579780391728633503407537194886,9051,,True, 10120 (9813),1, [7445],185,1,['7517'],2108,False,0,,True,12199 (10032),0,323,False,0,,True,12055 (9872),0,169,False,0
1361307115568394733887358211664862633439547294201071667243807340342450085882540485914530919761071374579770583740999729432023081585460187537714740740854148884885317510840813929690159346814064636605676529562047535677278143754520930403802943117903737852546371034227114235881422966864588710950864065277716881271012046163529425794556168818251846446455690644847809086805697393700699495076333913866168464133210442393527204762992849987370405633424826103087407094671922161447353956801311298326747758548591658956414164840868340350477211495153894742970391521711031895475351082171953314038305855962625424794053313008924942424,9160,,True, 10781 (10451),2, [1884& 4163],172,1,['1943'],1428,False,0,,False,30739 (28529),0,310,False,0,,True,12146 (9964),0,181,False,0
