Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1394631565412471476199431780488531019872202238429406651758889388532969205556313793551120254730732926120628227236174829970714462850962954556453311443441743589703671654583393875559842660142279134096337024861202715159554846170623045316606311798141574838045885534710825621606493977367918577549448819918181152851713458651711023080960501295807236520213007246751524037122117692234023419044534695145246325652886660491338548604096783866710602829987978767244716015671839315617913076308718957321007641124676496194339864889114126230216849101001478976036703980757337692602289862058082474106338434302282608336317522478696421657,9898,,True, 12086 (11758),3, [3675& 7421& 10601],181,3,['3727'& '7470'& '10669'],1001,False,0,,True,14201 (12041),0,319,False,0,,True,13535 (11337),0,161,False,0
1381161694274787218029729091438926371482232866297340848147462919970156678310792107508857075066869833491448880111973693564171550071369453857296534086348071123643688936578247354205300006799625844173087249130894820065764683853201215151368928547545559536958317472963521920835727019258619455898329693087105687448541262487920819213274084616458539737206799411918675487125108018808951924306796739207854108199744099270531039047204155678183218660208535307847447653996540169902147692615704135043230896268208153123147391898103008240802562761909138208713692855870187569266650246567601777707468094754294943207840560906019645225,8117,,False, 30141 (30063),17, [453& 765& 1445& 6111& 9068& 11771& 13332& 15914& 16068& 18057& 20773& 25028& 25032& 28298& 29044& 29072& 29495],1,-1,[],0,False,0,,True,11194 (8996),0,357,False,0,,True,10847 (8670),0,165,False,0
1358654469888097827455124521353292575117836513859341777196547552615190358584670793236182103228956434300378003813317272740528210375879985889906203008566688897733093503985329795586823674591134291820445451903702899420124313589125399420778530480929911745780985780443420468689458710716853755616929328629646890173781117785222799109114987401366855031199407701124000914115147403440303063378247896339239984100891640384509667810842291948046920008594453918694092114758073847291831672020227086253802212143946510392274125421103744453393260862480895403226094528031663387171548372165437647634426787802174113898112405961809153088,8995,,True, 9461 (9187),2, [929& 1078],148,0,[],1463,False,0,,True,11635 (9455),0,317,False,0,,True,11425 (9243),0,172,False,0
1306819743872915328796765827366478993889134686372393913771011932181052604300708985077814502061859093295977793832200767257619179030042994509008452539642999011718932661355760793662263455591465101201509967927756494853818304542340491882273691735906898648899033789400704502801185093551421556311561965894547548332445932022191193331330058023152112158407249961518447645509296872115533249490579841627635361695132820253203206873196293615650213673884641044795701258246449793898722853901088809742767770290162215887332644750024318864816781241267509012931018680485195731544752092078561213208935546233676571621573024624901694381,9110,,True, 10044 (9693),5, [428& 1085& 2352& 4100& 4635],165,1,['2402'],2173,False,0,,True,12327 (10175),0,300,False,0,,False,30107 (29999),0,1,False,-1
1293912531670907955644410943337668634832482533301010451154329264418413090594882279851115336747498191445085127661863470144371593853300147698301869874887139819842337690227853247974101487162586943453136168401553056183404215324344337774798404046672355777764891902301690575396519309829663652048892058266709952815782312511747761927211933865285310781913269605244817562072947768014615210945493715788059865712965708441575598046683243870884562947287082939189602284766732106744859679658480947707070994356007605335733454953844685412630789987712573501763267406204296009684475073715475172787594886552529327502044220239906576454,9000,,True, 10243 (9872),2, [5623& 7508],165,1,['5673'],2359,False,0,,True,12541 (10374),0,325,False,0,,True,11876 (9714),0,175,False,0
1475661230766158525311390018119780193263188738422928397581361408002609766263589111167749369694436726157419423771239208137853796155273614471148894132669814558076265280320621833517017683705730892358861508486814844773961693445299928086757788249276889294167922637443520653982907197063806833977121310899988573408735362202505132027605899645951470445675979724830183425800137013726494571889165333905486998108690345977748479471539322935279709258970061862776232755527042114423612560484746593710782858370721413481382422576979275907647594920111088994710608423128341605286872698005281214811451038064981302157268179091928966799,7549,,True, 24937 (24552),15, [82& 1867& 2857& 3385& 3501& 4780& 5023& 6682& 7526& 9668& 16154& 16181& 17864& 20291& 23493],160,2,['20338'& '23547'],16529,False,0,,True,10441 (8298),0,280,False,0,,True,10103 (7912),0,166,False,0
1392461540152475082265030160592802995389405818228737450703144077476563859616705984931706477196761794040685876803843660793150387332025392262675300749123431105446847204210269622459736974409553370782608342226876765982461916869970487073816270838415707342276074849451707905670918483036352717998461075749613172429086491055153993378218639699090472809183537452365424150772265507373352376718249374329988249761310198260043041287011634133518108816579125018930001332393699873151145367932551300517942924077354334000900921041232876917691007421197808737679602152237850324800169793513438898460967514248873888384875333666910832873,9072,,True, 10045 (9724),1, [8820],167,1,['8893'],1028,False,0,,True,18937 (18906),1,1,False,-1,,True,11600 (9399),0,171,False,0
1315300455752677876161220164263550646121957392892617493829759560181223131150826930278983549109075903908675861737696663044839468546018838035180160868584006578145132382146718261293217660936574271469050186329362518828672650641540706925645601950850446944624504953790781918179177028149026287778132107275917808543884144722175689568902494943950384168462172617396883949904327078957154044154784518339728819667003065958575657751524993543987741053049881033450611100356311457983937434263317553844012937541131391862960170646504970775921252820687994224814514465579148062377598024833118279198641439544882054238450862992560124746,9467,,True, 10604 (10255),4, [263& 4171& 4987& 10255],156,2,['4218'& '5057'],2053,False,0,,True,12963 (10783),0,320,False,0,,False,30097 (29999),0,1,False,-1
1252026992085620337967672828995209931627579175615009014876857895222761248636225858303058661336212145136612418820053849415736147045234090692644384915031631089625643750459901232316032726325243804097929627111482280991244613259910607022559999276613985221009952193584923687662771552145413769157620315699204849631093286277151006531666428076960576434805432492584321654335759562147529397145207544117852058308430233219383922923824656573710991851486155818741244983140852717845294696193200725200596548663521613162679023510061576360074498331222078869576623319731689067795119524212913321015474986241497207195840591738637508390,9443,,True, 10815 (10501),2, [271& 8619],160,1,['8723'],2988,False,0,,True,13045 (10876),0,315,False,0,,True,12466 (10278),0,159,False,0
1299283217956932275638417466682778107234729436948583450220004883844601828850580594231152821480282586895775716171152922510830638650945322869956766775267335139311202627339449862986502671171448839647147467421874771627984870800977718677380594456071598010573154629454944467977243169274969212413582671470390586796098316628920568017296851469548870444506116672949266717285144917626002981672612820203619418067405469801527167960587018529352854114945969649783864290472589105299493960150749851860272839341708441817449383513612695624409451473232819256323497260634190317644058378957026573069760650013451364293661411833045835003,9695,,True, 10696 (10337),5, [377& 709& 1920& 2194& 5754],166,0,[],2281,False,0,,False,30048 (29999),0,1,False,-1,,True,12739 (10544),0,174,False,0
