Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1468281875496053307978434559988246230364613389579075016932255087413123588914663184321468136030479143945645917905939828975443770284958184045326300183669135506433617387447759311737853173870802598673641132842837816548406760476970975477875100636783243776881535338289265113777623268240779469183157445983440770993291039019000481885078377687451028491298071482767616089752102978981878962127534121309595920258466897906582099787022740039817199243232758501938711311527343063753703331540049901360660125078912171766048335821734094730507963174936950069856432993370572970267245131156386967982577715598901894931542028595201968980,12914,,True, 15238 (14875),6, [949& 3348& 5796& 6849& 11786& 14589],161,5,['1043'& '3384'& '5848'& '6887'& '14658'],126,False,0,,True,16542 (14359),0,315,False,0,,True,15564 (13332),0,161,False,0
994126471211825632803390913841601727744899144411156318060898142899481004665271467466852770439018093626767409748718954603258986970476705640617533694731713264299248164506258451280806067373888311346696176876082600009719778620463436663698167827294532492541840113817103748127119890726406584061687998497267754326292235939644540231266505888987349344496614007107290109882261547169811360123418475158101049286800665293922065014730652328903440785277073079137505851579443980787017436376257198093686197190638665628910570015930217698731964601440864680255128929007108653401759805772067907346540890022366011681609070994183218038,14962,,True, 16281 (15906),6, [709& 3192& 3247& 5207& 9818& 12711],152,2,['9920'& '12776'],8029,False,0,,True,18466 (16277),0,306,False,0,,False,30089 (29999),0,1,False,-1
1075323178742629980199195900501533061099583044848976930294782365805833370944646952893835137449480240122974394442247464129254173355789189516399113896006321358402678711313134286868768240626894593582255411686082351445522672556368812391762804608536747257515082450766378693099688721052658071597004913384100421395985389356223682439533144189207839767649309913740155892078270302150730206884705384108165389762974440157014375836313283376973324503794395077143239054909222023792463786606967757792603561328059434611410984566706968037597562118732951473987275100707720255384418934978835743334483706173466169276093537029879587212,13718,,True, 15777 (15409),11, [2032& 3165& 7329& 8483& 9170& 9220& 9587& 9741& 11108& 12865& 15031],172,6,['7412'& '9293'& '9835'& '11171'& '12937'& '15079'],6181,False,0,,True,17152 (14978),0,306,False,0,,True,17108 (14908),0,169,False,0
1237615896145853437780018537192360984079303318077844533345403448049873512916882809735015992488798238936636081324636172970024741353585050446147635557778127691735718291886240527670676759744409161329827527672915157850191171772807971853002543907685596778857471163373425580214521273982499386888967631090428714229941770422690706740828981629768341520591180208880689710990438395182672415532628863512726560729535504307125792385160565502701325885233179863839608491296596776802321670947271230035178052881947733018825051306568664781345052445280421070105660445939089247867400834910560196983996888583663950815820734271764075743,10302,,True, 11488 (11147),3, [961& 3318& 9656],175,2,['3438'& '9702'],3214,False,0,,True,13944 (11774),0,295,False,0,,True,13321 (11129),0,163,False,0
995800644569724928381849470871036989808845737691455307830994787905565030805612556990423868274630476675840867165745663211074423703032862642590583515501873927425939995031082991561823708035940075326215618044468269719281741302854207122900693421491334781090057367342419284368534157700079233907411519074969464113743131292351629738553380066044635841864564232637085643181198633700633052643789119302152274285152372676423461383310239789290104515950963977699309215476542323791687189924543974129979703887606291188620637282107011154719882179526183301499304524535531313655420844197783570304517767453458062844403780651510128457,14841,,True, 16243 (15894),7, [3031& 4125& 7516& 9851& 10918& 11692& 12346],185,2,['11763'& '12464'],7988,False,0,,True,17928 (15739),0,290,False,0,,True,6071 (6053),1,0,False,-1
1059726361208489550367372188078857429211488126403769676142195438768541863907344621451128646261746388485795264346634306111799477717611557897578833128921770716429336365507435371966825910478569651815051585334688372240242244779096646605819533169626354235038971500091504638442444270841074655203433520091503551248973272039309529141370484134908582555355543949841621879593174318690308354630513246345077143544457294918885722644639038650243656588359862411011605261381006249933381112522293509905104408168339890815582594465801437640669176784182420707836473191359795023303814607449483238571628819536758932186318517148467033642,14974,,True, 15670 (15341),6, [185& 2297& 3896& 5127& 6256& 11447],148,1,['11495'],6514,False,0,,False,30177 (30001),1,13,True,-1,,True,17775 (15564),0,174,False,0
1003231229537627366819354847207227833813098845617559730169105022102464106083304740723136403373870069330460095168115357058040803352106834276250740158054843753617067936310953951584864630503841859412801064568870216385079344127495628016391752244902337111947845660081482971735203391294087318403819118287505271506957367932458656359482168325174213420229125284072410173318684899752110152098944119626134713280776386407539960855867448976411368473058671811505728117371951357954565528214368771928168278030222820085340953934838058909532667115404946398938029884823908169255949881325163595769025517151021857646576281077883669329,15043,,True, 16454 (16099),7, [1925& 3380& 6841& 7141& 15071& 15317& 15644],187,3,['15129'& '15418'& '15709'],7807,False,0,,True,18371 (16197),0,305,False,0,,True,17910 (15702),0,162,False,0
1106336019546222303201158184097839922709935801809930127513805535865324975490169261952199131267743196260323754526555311813748959796158885555341821468946339903394867204996037377699093898942661725664915091168785120422559855603586320283137510296049077889420093913746006752326005157291118894292977564162875652793938503524048671609367227625909337430564510506296468026637157373512125849359811451564197103739193461320142509720220941258463713680092447345787947401386770821477701202080754656763019073567185629363439776376973363897116577422277382591899597347655368838171522602470920043122993832333796937079383072052147697283,13041,,True, 14103 (13721),4, [2167& 5500& 11375& 11652],175,1,['11721'],5547,False,0,,True,16191 (14011),0,316,False,0,,True,15934 (13716),0,172,False,0
1178005616717560949721952869622029374555194208978720999544743138113302917208586725528942447431473654840886299530952229445075769465865429764229245357141882858586433608174757061785852148586591995013931992186094161431233183380785476492100144236620899032413569823097775294904543003712789028897565380158379096195705425216341690647396012648955205854167583861485839897561649342802315003664263955997945338338909804955223328894312677671606703272681595912024044769544324913438250752644068894121498058972161017284524275094788925108536475969273319633102203123730250440734446582078165820080735093685750129434056084162478966065,10899,,False, 30125 (30043),11, [2432& 4468& 5156& 11453& 19130& 19236& 24149& 24783& 26209& 28242& 29134],1,-1,[],0,False,0,,True,14358 (12183),0,314,False,0,,True,14007 (11808),0,167,False,0
1036783627073376238012461413751299631318684760248519775152571789483669753587778941308865239739708604522013602064442425181181475898724923542625736963747819356240772883498141655382224392639713071251469212127633692009820142104164000582297825247836906689973927424746093049442959736413787970427944095787455233423322279027952698204532061136734944059011844879423006441925298519549302237326473057084046838231049041547097893747994203141362933453322659383456292093100110047514060355432734717272568214502839619032266610538712312382424555727306681080777303940130488656256001079739975841928929060699213762367651889422108805624,14996,,True, 16332 (15985),5, [6801& 7848& 9980& 12152& 14417],159,4,['7906'& '10092'& '12234'& '14472'],7022,False,0,,True,18072 (15878),0,319,False,0,,True,17477 (15272),0,141,False,0
