Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1118280576543522872463548597747727403247217857988430836709943826090426586142650210043881333926319899705404962711700263970004379851263125926716869921520698019778961710295597314363903477597659660009015133178205010100652633632523997995903465979507881916293876073328070421113981178143060320958375247637649963439506343523967618268820463223045483578779814684336479324277881165761419560983245385159349790245465971511545653344557256349950412692318204137518959505925690565276246817549548481796085355703963914174523250243941951582076743990146288434427655366461100887333397883177488578035371726087049397548800969067537017656,12145,,True, 12868 (12540),6, [195& 1452& 1566& 2162& 3745& 4344],131,0,[],5312,False,0,,True,15702 (13500),0,368,False,0,,True,5847 (5831),1,0,False,-1
1005966146264641949507295786683540841147068232956713767609354637250003402363583949775548591012999622344183656734096081019329312535620726899525290563954534501665486913677487094003517975563860156136778809733613844407019678940008939727845019357022132831429014990315584031933906948168042009219279335928637970046573571910896979932477000897229983338554195174907120248263936587026571740221921051620680442584269680462724712443475583284822356994072876696104451937885332627994672049699943746405932227519109901218960267198592850763401839302026117933655806706369098919714809076081287527202647509230087514696760775429979076244,15068,,True, 15984 (15662),5, [1292& 4174& 7673& 11696& 11870],162,2,['11769'& '11942'],7741,False,0,,False,30054 (29999),0,1,False,-1,,True,17841 (15621),0,173,False,0
1189346156823987573251823506079169407873285141418678718574709915969057428065388485404826378061179672694499565599354286068410894471595825129599735760228967684775868337770603688688344233916861418162602442327203328610980801288924921219209597671874464733018678549614853121380629179249927326049331599954928705520607097362964202324474447029492399488145762990719540523791972670437489684256072146511122788597485029148206930742074379440853889932430089760063259579880908598568459613316767103265048789979469537374189508920387703730496434715440165686956684746458666106186658763583497107224626564701951656249449665621186378672,10844,,True, 12296 (11954),8, [1842& 2376& 5891& 6744& 6957& 8119& 8394& 9774],135,6,['5966'& '6812'& '7053'& '8209'& '8445'& '9832'],4012,False,0,,True,14140 (11963),0,306,False,0,,True,13909 (11710),0,171,False,0
1086422390034886782740441784792426071783181195875392317666948399083837475591484161826384646159901532093916603656946844855531391438225174612103030543786971890281105318571624665254239100050891054114211290602093107613915714998802345825436799731855716974107010946445241084131029296998249533361553133621050936193829085134702360216689014805119096864313788243615670869254899142608958880207745124012260489865072525285364188905265483338669072257628661482946983342042233035337377716273760596351815227326041663441643457894605208253896348096956916664895001852570908878287029111006496037299977913629701493847154239295292881228,13723,,True, 15118 (14763),6, [906& 1696& 3613& 11400& 13028& 14454],170,2,['13103'& '14529'],5950,False,0,,True,17157 (14988),0,333,False,0,,True,16934 (14737),0,167,False,0
1179707169802575385497943803141404802234785932834829150682506098231710642372849455583689600726164755563180865275815771198105536919854064600197739776549378355795572438169429191070713509741275455785701470979371102184744582476897299150352073358551574200117744515581603709423142228601307853320870059940628481264465802055313543816470835039263859886804274379260543971451452724665696561194124879033774559755282200797536329701888356539973249546295088026710774175973187704752081391183212837978933395992074106008511125188071893858807416694530852277361699239886632202882236821241219647382184676028358310590217222712632872410,12050,,True, 12990 (12666),4, [4168& 7488& 7848& 11874],161,3,['7545'& '7914'& '11945'],4179,False,0,,True,14843 (12686),0,291,False,0,,True,14586 (12388),0,191,False,0
1450163626404744400260354360993022254094402143965052021223000154601541394303488806194130148361685723101309797808778376169168970898787150652181550948563347658717485480168123107966240848810400207623769481147912067610212599058417719244642325594501045878950084489956074456873757865426784103960363929046578413917950418463616898215511521859473324755685831055805811437228448231289683648629759062737687002326924082973984507298508298905258703590160228292443320312112066256155669817912002998600304612524345503794824303619640918095465733491666322121855984736492694517287341325333196962332131879787011666432152660263295299299,10437,,True, 11874 (11539),6, [1110& 9327& 9337& 10112& 10331& 10550],184,4,['9379'& '10166'& '10400'& '10594'],333,False,0,,True,14092 (11896),0,327,False,0,,True,13025 (10835),0,156,False,0
1179130971461737611275143487826842022149629208395332171305091539106396287467734093421762749232270274651569949573772312827332168088777077911409544051051130071981525993525811714969320562752550345793976512690686869664911352010082910632650099486628990126585661806871803173984681176974468390681974223476026980211039256973518020410800847055627443482556972477894879045538484453825126873680494360496646948772810719961418047583350702325480861389778587730257399378828150794063328007759512851968336406645773363864895128958899565132420605921778355616640489231511490846472709012618048767993453980196899299931291957864061762151,10836,,True, 11937 (11585),7, [675& 2147& 3996& 6459& 7400& 10186& 10282],166,3,['7463'& '10230'& '10397'],4189,False,0,,False,30048 (29999),0,1,False,-1,,False,30083 (29999),0,1,False,-1
1001128403793131194382487523462112234914260165695234576198720957852191933438753275150074874457547034017109049639728306123458346048124578628987861340513723182215691648323326784163504270142644859351219387479825905419097342487538824399161464134662804206014380914592626025731225761593160698885415404339312030378622013070651495028954407400479028459703927798079697731499686166936759932212110082931815114025588843876649702486211911932574851691462716315599099706998772825029055907272751524562686896724479612011554967556947729951132203473813599319665411779136098779122983043704695030446953404910838591472929086378919885267,15003,,True, 15997 (15642),8, [1037& 1252& 2990& 5770& 6359& 8433& 8622& 8628],167,1,['8775'],7858,False,0,,True,18108 (15917),0,332,False,0,,True,17807 (15620),0,172,False,0
1034009493018759904679271051690726303008113728403817990610988021480864884655162936557854830073080005921984052024348461725184528401690367703918675773572870747669347554819156624196997767271883062974266368212702668831035456050998075755124086967378306811793563329651397670882220699420286041004192466031818613154051847651862741503081379642256836000099744551005646542133326646922034832003890396933982424857447897596347510143087965352209720271569030645702542631948779175706654132653780822956591234177217132780597303616124504611802183917859731964246027678948445112292958504429457234358086726627127899529482789423165231731,14659,,False, 30137 (30047),13, [2488& 4405& 9690& 9694& 12226& 12669& 13461& 17139& 17657& 20067& 22870& 27377& 28368],1,-1,[],0,False,0,,True,18157 (15956),0,340,False,0,,True,17618 (15418),0,169,False,0
1085015018115872504392205207702456882002798788920219731467913790050248620914129841281830619171285232871498449829253448589498351811410078459964506554392254085143811720021856579172611414740797618701999548829794823952664898471806995339148252900151109632519319317013785453938888807377173029917677943869490828949880840162227497307647776384381053912396835806330933505596959434038519317018866499343541249500805395359454418277921351107022330330818961808143419041480531471495385319897865621936151094959081137130164884023284152984088310958426661570912663956180330763454168721426646149229837883152946486574402963004969179427,13729,,True, 14957 (14635),6, [879& 3001& 3752& 4158& 10493& 14039],158,2,['10545'& '14121'],5979,False,0,,True,17734 (15545),0,338,False,0,,False,16893 (14678),1,152,False,0
1047863394097202096216789493370321249243587574501726363000922513089781505904011002897952118975148232674832670265031273813602926987661723453402084106937867676185155621976841360762409953535599868073569671024833673103873834937878125409115772187258227668300686761546531173069251824394559387193227220452518744752553210870825000062141907079059201077318670436774807335411627140456645456286261637123528381798682893456996109488678335847138684787587298419013353411696856213993491434946434742026665379135943832271863253534601092288274088388035829289228486333363563020620773613235052836133363588435141624865156202021292127785,14298,,True, 15485 (15122),4, [5045& 9059& 11579& 14808],203,2,['9126'& '11653'],6774,False,0,,True,17798 (15619),0,315,False,0,,True,16846 (14652),0,174,False,0
