Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1078464674488407537956109802324970008097464958875676525788027521060215447514539416345099378565123148078847640844872262211473781512979708633897838767931496374987921451815352827253614535795117045600892493629700672985484868006308710297596971822328737747481032529082691375015651229127441002073839210037421820885808531904112532407688582135260194758975947814269120282920148236156027289048458668918241924750150170079951298041823552771702770424206794388073877894045141378871615630848998210682253548325842343948759714881573119614048713332684436779802050702479245434379404920314710675079750120052702912743943633078538124443,14519,,True, 15997 (15685),7, [927& 1520& 2917& 3872& 6195& 7493& 10248],171,2,['7638'& '10374'],6115,False,0,,True,18520 (16336),0,334,False,0,,True,17679 (15474),0,168,False,0
1073758117842263421972169206422953589517961363393885813083357544363631465566438712340894056345119847399551390852496097292016617031405916395891436172677669636242139697046393609932184192657445691846127259941401827656056073015377338516132571613056864184230911145776209132648354067464116373406911232539723843560576705777919023241880799752579905674898348100767833179485071620392287561578092292529989334321870628544476854320161196932057902006943965539289904408921462249705805133738349458594418409749246702569091996550645038319282788165620756962490593706046800054368931882710966239546872077222587360439448057846780183803,13205,,True, 14559 (14221),3, [3063& 3314& 6372],166,1,['6437'],6214,False,0,,True,16471 (14292),0,333,False,0,,False,30083 (29999),0,1,False,-1
1099616473774869025770274489796326491199217889576615944039518983879373797407888782235920150753733579508303551599239841079795056007651671924625260278689291381083262868550215907319972460107371667289802406903102768595556798255081376789119478311367467137645493443362503282803273331079617231733011362633521818064816165476201140274712118409695088602824075708566965581172664687431488900621102443732383237404707014754393564916143753966320975571738625763974640789497919433146465397177825768713860060240599320037137204505338881269046981430934201261584642817830415674840341839504289516747278352764850180574847005335400112666,14549,,False, 30167 (30091),23, [332& 1917& 3398& 5066& 10088& 10284& 11220& 12152& 12519& 12730& 13222& 16966& 18120& 19491& 20004& 21405& 22136& 24356& 24981& 27089& 28658& 28998& 29107],1,-1,[],0,False,0,,True,16860 (14681),0,335,False,0,,True,16821 (14623),0,154,False,0
991498507870079078277889516682587720774362162685645121405701904789026055644878596929500487607073326197911240510806887445573056546092274801409450322576656766363528064809373393536553220886796484400068927748225261446357249293641350963249845432288524628462106092771999592040415445915929997208648671233284745616266543869627927804496450232215299734713547922145733432244303724133861738250607026216334055367744106257968570721722972668616700014976990384240165016956816374361151135598164703600498129571151729913975238695383897502403971465428852729748915703092700809611182456886141385800274297219933697353646495407575757720,14937,,True, 16877 (16513),8, [4406& 4926& 8488& 9104& 9216& 9886& 10322& 14524],179,5,['8587'& '9181'& '9344'& '9952'& '14622'],8094,False,0,,True,18466 (16274),0,337,False,0,,True,26134 (26048),1,1,False,-1
1126876309328584356968039732667235070979865091318790146193484063347656479535681372707164782393727355782679611421494624815136351821457096311823381189636893451829829679931064658943169794342783111010246104017425037678560510176822661881291355461807208165117367008902608864122490141391190834166834661063168101339384411571480349865408065180442450189989541852722651415772928100638335213690341499136963630661184560691812832481269594772289006772542119733681094441096702763887573551017029643458783093884719535731316642667225542547587355725005227561099076384062617751449334884526690933636743425376827691790814848940666474383,12924,,True, 14138 (13788),2, [6053& 12788],155,2,['6134'& '12847'],5146,False,0,,True,16524 (14324),0,337,False,0,,True,3603 (3594),1,0,False,-1
1007633161696711423076932239622931599699827582872235895034223011633326195243782230165807204553254105406957314009347016428052999733755087329518756484759509958537611889831705799630259404069716498744834619040253435986906995054813824755212167405091361778743867075168524623927874548817465281269664410302535110873376545665894518511275657012164676738259487256125010121544090776447439011124236422260093378392779877585846267218181297650158289189972594425014112850388769450825175060481133838876198700007518788907615774707600714111427858176942406119822086074753872890023600507284755542337932945982349794514427037934559342105,14911,,True, 16473 (16122),8, [2412& 5681& 6928& 7686& 9888& 10688& 11495& 15916],173,3,['10751'& '11611'& '15969'],7701,False,0,,True,18297 (16112),0,336,False,0,,True,18067 (15829),0,157,False,0
1175837842195306507128802913214087023113715504873026459555565369132861192843418534736245343611773716124111814721072204504626936052917724797923419344709603311687194469882016375962780308879418477379044211328289401065634459479685911659624835328982652264904110795181220578152351092614571062122523634240701915145950140033334006941221998032393425226247302915955220569122317996151108979885024014461305191441583577445542074776642311308526724388330175324538119074510205920477872895533291332033864775332244367797838643527811518867786309198359962797800801092173653534927000939211734056453368047028295013840611605466305523481,11005,,True, 12079 (11788),4, [251& 1583& 2838& 10203],156,1,['10264'],4247,False,0,,True,14717 (12538),0,326,False,0,,False,30097 (29999),0,1,False,-1
1136301057959751115761268047107572656521953090559862680932793403889644930177823456954150721151525668110497310689312463003670004778845640962091164110564809577075311426436636319869688456638951037183793006922152804451241880885561289729111692117845563527703932126878080512004777490416923843519752114219740440991142627848625826255445008380980758850273398346788876688759592116987542211013383560232002750729026697360659905919619849178731074764137682805227599055409673876732703280612013355666961019772207044308647158246634669125714654378834640170265960857290051354537068376974246988279701545915776420940213229697960641730,11622,,True, 12841 (12492),5, [820& 2833& 9609& 9719& 11866],152,2,['9676'& '11927'],4967,False,0,,True,14892 (12733),0,290,False,0,,True,14852 (12643),0,167,False,0
994201616198381190205024598859738960231524147816417993835294706339381176293341177504112233330503191991505622862964633732388574493478672166270361980557588257819369602596091024687544532544655762935483498400050790147879484677487662833286777808115572231674604128083696742795015062644275968804977890093555275814779232798872741191505008817555493107737226776730730638789633456863339347753151784789902085201316152117219513311023335630464539765037233811901686494588794558375873795936519405470198815854606463069362181554729231542548076485565246237655638089842782825494182212251470668252683763133197421007904995851603021850,15914,,False, 8475 (8453),4, [3910& 5003& 6332& 8077],0,-1,[],0,False,0,,True,19329 (17152),0,324,False,0,,True,18745 (16544),0,159,False,0
1105474688109466786428644268351314529299359733676822346008782306758981696531284102256319035440178171277513007562789057901492937400138221078426734655761340851269099038978496367443800521417199017980081112148208965500521627821456059116065897240277648199929722560952129533491982882106129833296727481131783039573582884300958486395337154548399189151337114571456484213771743415610205936271918234715094077818324105110417814025185363500938471716188795852505867891667610863364717977713793970616285683633952825498834583958743009127744496905490411528264061380672462856103074051208774633031191131926584350650814193192277448248,12337,,True, 13529 (13192),4, [196& 2526& 3582& 4490],175,0,[],5564,False,0,,False,30042 (29999),0,1,False,-1,,True,15300 (13106),0,182,False,0
