Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1093304996816666925993534087821839896694537630954631029545569127436182901199072814375730224403748390018314025847548188792831119482726748968242909468616933507134493830807435306319177848022435277763810720869381878748250946843559174391972403509886067759211008124919341074391372704789365216373792592418533526304687806820924441412192266163792249317458747381417063911627670645268034905727426178602283360666926737841290552460260641554994682786766269716837388811162758314537818435841802288428861618901163317202955047056626303648680048707577542870521751310161341987977212757349346041647449885625851951718054975206352595023,13846,,True, 15350 (15018),4, [3548& 10423& 11055& 14438],174,3,['10490'& '11105'& '14498'],5809,False,0,,True,17101 (14898),0,323,False,0,,True,16536 (14348),0,151,False,0
1261159374660984215340831282070079688965181789802005769158285426907373701131880248011534427604901265850295665827171248763633890677119561478867570157360249408647963448543728624869118179172532406213082515072927057666430669417349360158313162827835525886239764873238415512961701097125967270406207809365927430559791495866874519458248289504536733145257978595321716799465674872542885600098008467693741768326960162597957066130555481459823338063397879656912490570984684396856425975104626249591463086535090899330341994639566941055795882021738117261946873961174040048994519282183848413153952670809597280334662910169653701161,10145,,True, 11402 (11054),4, [1582& 3284& 7261& 9885],186,2,['3351'& '7308'],2847,False,0,,False,30042 (29999),0,1,False,-1,,False,30097 (29999),0,1,False,-1
1048991732858748656145241853422015056700277206988087443260277854065700163598390577126851958987875013103591696971073886168196013568913905068784481516363092642424059370285537032468495383163695013673048289356237496880431463303541498435417107568090860076115743387697667848992725943001740903578856268460759786049558941747787297714446291236520275286181744796527567797525807542823658563593025236454121928924984693947616717054461535679789440878822034914606609693103043197403938629938984630223386325347140019034541226321016346536876451708673930858420577399025140749236189096211558151292609029822970628584079264280569898583,14167,,True, 15672 (15327),4, [943& 5455& 7435& 14847],167,2,['7492'& '14959'],6749,False,0,,True,17402 (15222),0,318,False,0,,True,16938 (14749),0,152,False,0
1074891804658177736122422735388475196058850438868107040766299831421310646555857681541091240370209700921928345732432140157661471051860867081459093178573910484544738613848723364852834743442131933596272689753215764062447373120881762045487743615003374342480806121988839945560490050688729453029117728708371953746708195608425491895329165194818417837009753383167540600809566934842389620423493744957093338743161632990135792466924998932065624317809739119327090305187829436506900199519744402771280984523777193887252013071611949244874983883782295285405672758029229457074465429354349350556982044212778611544576516228862869477,14422,,True, 15260 (14939),4, [61& 1483& 7393& 11216],163,1,['11315'],6190,False,0,,True,17846 (15657),0,307,False,0,,True,17233 (15035),0,172,False,0
1187378491076137280456592682924010846582870015488470027561194351530495057276739156191698706822985186825355924102126267876251568999076542716114587097766017793684225681954946914067578241023185270334533739950060479105506763417534691407176446801208387833555344358742324667713210028440701530024357605538927072609474975645408998439309280339335079497946877718875731145929607074008397070792798161661619940816974710112839255980136035931814894019624987201847007844807479725398605478162471519596360466645766484219105380748279064458411726133923511821674612732251050980910005135214421282382444559530822007009634105492896293716,11457,,True, 12770 (12455),3, [2254& 7752& 11795],176,1,['7845'],4046,False,0,,True,14728 (12569),0,286,False,0,,True,14721 (12538),0,165,False,0
1186040712825158333043605153987161687905733634130601483346372527253451107982206321524296365343289382522811646461666994797042853402564508324747491065688473053203906729837898916360418214980889087984901682013260190815339690854121793374971570168439152269217897532161409826869099564746053673660239547391761639150656833372225791001174436515050947524046867033111211803988146988194127576752520246528691281930007249001754012693227784163570721417642525434202835084274451027447829575126263076689219534311976430263288558181288166430526178638726804333335443509229054228451247674590606907878906793138751639312801794673225110420,10845,,True, 12157 (11869),3, [3061& 3860& 8096],152,0,[],4069,False,0,,True,14426 (12256),0,316,False,0,,True,13900 (11702),0,177,False,0
1126246089986360665335172210029127288868839244536474805513178089324948379285128694553757353519365491524902318932064810397513227445960935809984973029184901233593224790433508611744789266050206411127134099500158237266399987284845870614806915202322855558263874790787318887881166776843397826125192857231364426308543131055324361357502030534931900765465352008349308701293648574544558195692366742990146081243325428066969109410414594022621767234746824261102310260544872837068940682916627156497821715760094889667346562670079586089111606780660100084100620278063533476552117901569129852109304044813449611034049788834418972331,12340,,True, 14071 (13746),3, [390& 848& 8896],182,1,['8985'],5158,False,0,,True,16234 (14030),0,342,False,0,,True,15464 (13265),0,186,False,0
1230311680937021556101367731879958532432417458984029605104505929776166104912021709508516814677086021479417150323045045186428834133250091531071039457227105373318286198837634368836675112406618648612883435188546921554236179673897553827759858990490242486090450446722666742718587424421650914240709285329435591527871746452659011046634276696203819023309014330750560729492407136148182262305228406289830573986685073248559714629213552245800514729201406117312050576460453968669672650584570063831407834817442022830060384871250733838147895600491981692224266700291884448207335095295425520691112579988580156711955254360983163453,10318,,True, 11277 (10914),2, [1598& 6532],174,1,['6592'],3331,False,0,,True,13382 (11213),0,309,False,0,,True,13054 (10875),0,141,False,0
1032296981656374334322106306797693937054689045195339819135259289526566137062005087329720619540900272979767522209066189297554568135535342279245860129963277900686279919524315461341804551837077108892293449740974119733780791186370214695987001867625506845327145091742708903313145846396524160199088679685487636508922714340481068663009147822813142475328072778535465255034140964678126250857782332519067263900730532976704742100978478211111104066326358129417146598345318652983980501735248238301442697199355884320657372039408499831010636496928988724343169642744286249104394554524860072736334121870933789155780205310291378102,15226,,True, 16368 (16010),5, [4814& 5542& 5557& 7578& 9998],170,2,['7701'& '10068'],7124,False,0,,True,18270 (16089),0,335,False,0,,True,17871 (15652),0,160,False,0
1231742645611759581131279996570466554082870118637603077606302426040187541135512809319827853160137643363504070406561838472402882728710540163925311129475202394034604653193241822124327666116686478265896242218995890217900709872957218347441002874353277954887278069598795590140853566768818689489536423608544843778098537407402923100653897837016336788613223026289631885246941800621616586657697288952207922863477490335555915757033740347925651894470515730011050896679167252056358038476848727022088663061460371771237841431168302007801572598012191769037878072338003710875594221107958543878732031397318970920772042054143685533,10735,,True, 11980 (11657),4, [2139& 2863& 3451& 11120],166,2,['3499'& '11240'],3308,False,0,,False,30049 (29999),0,1,False,-1,,True,13443 (11244),0,151,False,0
